Key,symptom,factor_group,factor,translation chinese,translation english,
"pelvic pain in adult males, pain best described as itching or burning around genitals, buttocks or inner thighs",Pelvic pain in adult males,Pain best described as,"Itching or burning around genitals, buttocks or inner thighs",请问您感觉生殖器、臀部或大腿内侧有瘙痒或灼热感吗？,"Do you feel itching or burning in your genital area, buttocks, or the inside of your thighs?",
"pelvic pain in adult males, pain best described as pain or discomfort in the penis",Pelvic pain in adult males,Pain best described as,Pain or discomfort in the penis,请问您有阴茎疼痛或不适吗？这指的是阴茎区域的疼痛或不适感。,Do you have pain or discomfort in your penis? This refers to pain or discomfort in the penis area.,
"pelvic pain in adult males, pain best described as painful intercourse or ejaculation",Pelvic pain in adult males,Pain best described as,Painful intercourse or ejaculation,请问您有性交或射精时感到疼痛吗？这种症状是在性活动或射精时感觉疼痛。,Do you experience pain during intercourse or ejaculation? This symptom refers to pain felt during sexual activity or ejaculation.,
"pelvic pain in adult males, pain best described as painful urination",Pelvic pain in adult males,Pain best described as,Painful urination,请问您小便时感到疼痛吗？,Do you experience pain while urinating?,
"pelvic pain in adult males, pain best described as testicle pain",Pelvic pain in adult males,Pain best described as,Testicle pain,请问您的盆腔疼痛伴随睾丸疼痛吗？,Is your pelvic pain accompanied by testicular pain?,
"pelvic pain in adult males, accompanied by blood in semen",Pelvic pain in adult males,Accompanied by,Blood in semen,请问您的盆腔疼痛伴随精液中有血吗？,Is your pelvic pain accompanied by blood in your semen?,
"pelvic pain in adult males, accompanied by blood in urine",Pelvic pain in adult males,Accompanied by,Blood in urine,请问您的盆腔疼痛伴随尿液中有血吗？,Is your pelvic pain accompanied by blood in your urine?,
"pelvic pain in adult males, accompanied by bumps, blisters or open sores",Pelvic pain in adult males,Accompanied by,"Bumps, blisters or open sores",请问您的盆腔疼痛伴随生殖器区域的疙瘩、水泡或开放性溃疡吗？,"Is your pelvic pain accompanied by lumps, blisters, or open sores in the genital area?",
"pelvic pain in adult males, accompanied by clear discharge from penis",Pelvic pain in adult males,Accompanied by,Clear discharge from penis,请问您的盆腔疼痛伴随阴茎有无色的分泌物排出吗？,Is your pelvic pain accompanied by clear discharge from the penis?,
"pelvic pain in adult males, accompanied by difficulty urinating or emptying bladder completely",Pelvic pain in adult males,Accompanied by,Difficulty urinating or emptying bladder completely,请问您的盆腔疼痛伴随小便困难或不能完全排空膀胱吗？,Is your pelvic pain accompanied by difficulty urinating or being unable to completely empty the bladder?,
"pelvic pain in adult males, accompanied by discharge from the penis",Pelvic pain in adult males,Accompanied by,Discharge from the penis,请问您的盆腔疼痛伴随阴茎有分泌物排出吗？,Is your pelvic pain accompanied by discharge from the penis?,
"pelvic pain in adult males, accompanied by fever",Pelvic pain in adult males,Accompanied by,Fever,请问您的盆腔疼痛伴随有发热症状吗？,Is your pelvic pain accompanied by fever symptoms?,
"pelvic pain in adult males, accompanied by frequent urination or urge to urinate",Pelvic pain in adult males,Accompanied by,Frequent urination or urge to urinate,请问您的盆腔疼痛伴随频繁小便或急需小便吗？,Is your pelvic pain accompanied by frequent or urgent urination?,
"pelvic pain in adult males, accompanied by lump or swelling in scrotum",Pelvic pain in adult males,Accompanied by,Lump or swelling in scrotum,请问您的阴囊有肿块或肿胀吗？,Do you have lumps or swelling in your scrotum?,
"pelvic pain in adult males, accompanied by nausea or vomiting",Pelvic pain in adult males,Accompanied by,Nausea or vomiting,请问您的盆腔疼痛伴随有恶心或呕吐的感觉吗？,Is your pelvic pain accompanied by a feeling of nausea or vomiting?,
"pelvic pain in adult males, accompanied by pus-filled discharge from penis",Pelvic pain in adult males,Accompanied by,Pus-filled discharge from penis,请问您的盆腔疼痛伴随阴茎有脓性分泌物排出吗？,Is your pelvic pain accompanied by pus-like discharge from the penis?,
"shortness of breath, problem is new or recent",Shortness of breath,Problem is,New or recent,请问您是否是最近新发有呼吸急促的情况？,Have you recently developed shortness of breath?,
"shortness of breath, problem is ongoing or recurrent",Shortness of breath,Problem is,Ongoing or recurrent,请问您是否经常或反复出现呼吸急促的问题？,Do you often or repeatedly experience shortness of breath?,
"shortness of breath, preceded by trauma or injury",Shortness of breath,Preceded by,Trauma or injury,请问您的呼吸急促是否由创伤或伤害引起？,Is your shortness of breath caused by trauma or injury?,
"shortness of breath, preceded by upper respiratory illness",Shortness of breath,Preceded by,Upper respiratory illness,请问您的呼吸急促之前是否有上呼吸道感染？,Did you have an upper respiratory infection before your shortness of breath started?,
"shortness of breath, triggered or worsened by allergens or irritants",Shortness of breath,Triggered or worsened by,Allergens or irritants,请问您是否是在接触过敏原或刺激物后呼吸急促？,Do you experience shortness of breath after coming into contact with allergens or irritants?,
"shortness of breath, triggered or worsened by anxiety or stress",Shortness of breath,Triggered or worsened by,Anxiety or stress,请问您是否是在焦虑或压力下感觉呼吸急促？,Do you feel short of breath when anxious or under stress?,
"shortness of breath, triggered or worsened by coughing, sneezing or deep breathing",Shortness of breath,Triggered or worsened by,"Coughing, sneezing or deep breathing",请问您是否是在咳嗽、打喷嚏或深呼吸时觉得呼吸急促？,"Do you feel short of breath when coughing, sneezing, or taking a deep breath?",
"shortness of breath, triggered or worsened by exposure to cold air",Shortness of breath,Triggered or worsened by,Exposure to cold air,请问您是否是在接触冷空气后觉得呼吸急促？,Do you feel short of breath after being exposed to cold air?,
"shortness of breath, triggered or worsened by mild to moderate exertion",Shortness of breath,Triggered or worsened by,Mild to moderate exertion,请问您是否是在轻度到中度运动后感觉呼吸急促？,Do you experience shortness of breath after light to moderate exercise?,
"shortness of breath, triggered or worsened by smoking",Shortness of breath,Triggered or worsened by,Smoking,请问您是否是在吸烟后觉得呼吸急促？,Do you feel short of breath after smoking?,
"shortness of breath, accompanied by chest pain or tightness",Shortness of breath,Accompanied by,Chest pain or tightness,请问您的呼吸急促是否伴随有胸痛或胸闷？,Is your shortness of breath accompanied by chest pain or tightness?,
"shortness of breath, accompanied by cough that produces blood",Shortness of breath,Accompanied by,Cough that produces blood,请问您的呼吸急促是否伴有咳血？,Does your shortness of breath come with coughing up blood?,
"shortness of breath, accompanied by cough that produces sputum",Shortness of breath,Accompanied by,Cough that produces sputum,请问您的呼吸急促是否伴有咳痰？,Is your shortness of breath accompanied by phlegm?,
"shortness of breath, accompanied by dizziness or fainting",Shortness of breath,Accompanied by,Dizziness or fainting,请问您的呼吸急促是否伴随有头晕或晕厥？,Is your shortness of breath accompanied by dizziness or fainting?,
"shortness of breath, accompanied by dry cough",Shortness of breath,Accompanied by,Dry cough,请问您的呼吸急促是否伴有干咳？,Does your shortness of breath come with a dry cough?,
"shortness of breath, accompanied by fatigue or weakness",Shortness of breath,Accompanied by,Fatigue or weakness,请问您的呼吸急促是否伴随有疲劳或虚弱？,Is your shortness of breath accompanied by fatigue or weakness?,
"shortness of breath, accompanied by fever or chills",Shortness of breath,Accompanied by,Fever or chills,请问您的呼吸急促是否伴有发热或寒战？,Does your shortness of breath come with fever or chills?,
"shortness of breath, accompanied by headache",Shortness of breath,Accompanied by,Headache,请问您的呼吸急促是否伴有头痛？,Is your shortness of breath accompanied by a headache?,
"shortness of breath, accompanied by irregular or rapid heartbeat",Shortness of breath,Accompanied by,Irregular or rapid heartbeat,请问您的呼吸急促是否伴随有心跳不规则或加速？,Does your shortness of breath come with irregular or accelerated heartbeat?,
"shortness of breath, accompanied by nausea",Shortness of breath,Accompanied by,Nausea,请问您的呼吸急促是否伴有恶心？,Is your shortness of breath accompanied by nausea?,
"shortness of breath, accompanied by pale or bluish skin",Shortness of breath,Accompanied by,Pale or bluish skin,请问您的呼吸急促是否伴随皮肤苍白或发蓝？,Does your shortness of breath come with pale or blue skin?,
"shortness of breath, accompanied by rapid weight gain",Shortness of breath,Accompanied by,Rapid weight gain,请问您的呼吸急促是否伴有快速体重增加？,Is your shortness of breath accompanied by rapid weight gain?,
"shortness of breath, accompanied by sweating",Shortness of breath,Accompanied by,Sweating,请问您的呼吸急促是否伴有出汗？,Does your shortness of breath come with sweating?,
"shortness of breath, accompanied by swelling of legs, ankles and feet",Shortness of breath,Accompanied by,"Swelling of legs, ankles and feet",请问您的呼吸急促是否伴有腿、脚踝和脚的肿胀？,"Is your shortness of breath accompanied by swelling in the legs, ankles, and feet?",
"shortness of breath, accompanied by trembling",Shortness of breath,Accompanied by,Trembling,请问您的呼吸急促是否伴有颤抖？,Does your shortness of breath come with trembling?,
"shortness of breath, accompanied by wheezing",Shortness of breath,Accompanied by,Wheezing,请问您的呼吸急促是否伴有喘息声？,Is your shortness of breath accompanied by wheezing?,
"shoulder pain, pain is dull or achy",Shoulder pain,Pain is,Dull or achy,请问您的肩膀疼痛感觉是钝痛或酸痛吗？（肩膀疼痛可能会感觉像是持续的钝痛或酸痛。）,Is your shoulder pain dull or sore? (Shoulder pain can feel like a constant dull ache or soreness.),
"shoulder pain, pain is sharp or severe",Shoulder pain,Pain is,Sharp or severe,请问您的肩膀疼痛感觉是尖锐或严重吗？,Is your shoulder pain sharp or severe?,
"shoulder pain, onset is gradual",Shoulder pain,Onset is,Gradual,请问您的肩膀疼痛是逐渐出现的吗？,Did your shoulder pain develop gradually?,
"shoulder pain, onset is sudden",Shoulder pain,Onset is,Sudden,请问您的肩膀疼痛是突然发生的吗？,Did your shoulder pain occur suddenly?,
"shoulder pain, triggered or worsened by everyday activities",Shoulder pain,Triggered or worsened by,Everyday activities,请问进行日常活动时，您的肩膀疼痛是否会加剧？,Does your shoulder pain worsen with daily activities?,
"shoulder pain, triggered or worsened by injury",Shoulder pain,Triggered or worsened by,Injury,请问肩膀疼痛是由受伤引起的吗？,Is your shoulder pain caused by an injury?,
"shoulder pain, triggered or worsened by overuse or exertion",Shoulder pain,Triggered or worsened by,Overuse or exertion,请问过度使用或劳累后，您的肩膀疼痛是否会加剧？,Does your shoulder pain worsen with overuse or fatigue?,
"shoulder pain, triggered or worsened by rest or inactivity",Shoulder pain,Triggered or worsened by,Rest or inactivity,请问休息或不活动时，您的肩膀疼痛是否会加剧？,Does your shoulder pain worsen when resting or being inactive?,
"shoulder pain, accompanied by inability to move shoulder",Shoulder pain,Accompanied by,Inability to move shoulder,请问您是否因为肩膀疼痛而无法移动肩膀？,Are you unable to move your shoulder because of the pain?,
"shoulder pain, accompanied by muscle spasm",Shoulder pain,Accompanied by,Muscle spasm,请问您的肩膀疼痛是否伴有肌肉痉挛？,Is your shoulder pain accompanied by muscle spasms?,
"shoulder pain, accompanied by numbness or tingling",Shoulder pain,Accompanied by,Numbness or tingling,请问您的肩膀疼痛是否伴有麻木或刺痛感？,Is your shoulder pain accompanied by numbness or tingling?,
"shoulder pain, accompanied by shoulder or arm weakness",Shoulder pain,Accompanied by,Shoulder or arm weakness,请问您的肩膀或手臂是否感到无力？,Do you feel weakness in your shoulder or arm?,
"shoulder pain, accompanied by shoulder stiffness",Shoulder pain,Accompanied by,Shoulder stiffness,请问您的肩膀是否感觉僵硬？,Does your shoulder feel stiff?,
"shoulder pain, accompanied by swelling",Shoulder pain,Accompanied by,Swelling,请问您的肩膀是否有肿胀？,Is there swelling in your shoulder?,
"shoulder pain, accompanied by visible deformity",Shoulder pain,Accompanied by,Visible deformity,请问您的肩膀是否有明显的形态改变？,Is there an obvious deformity in your shoulder?,
"sore throat, accompanied by blue-colored skin or lips",Sore throat,Accompanied by,Blue-colored skin or lips,请问您的喉咙痛是否伴有皮肤或嘴唇发蓝？,Does your sore throat come with bluish skin or lips?,
"sore throat, accompanied by chills or sweating",Sore throat,Accompanied by,Chills or sweating,请问您的喉咙痛是否伴有寒战或出汗？,Does your sore throat come with chills or sweating?,
"sore throat, accompanied by cough",Sore throat,Accompanied by,Cough,请问您的喉咙痛是否伴有咳嗽？,Is your sore throat accompanied by a cough?,
"sore throat, accompanied by difficult or painful swallowing",Sore throat,Accompanied by,Difficult or painful swallowing,请问您吞咽时是否感到困难或疼痛？,Do you experience difficulty or pain when swallowing?,
"sore throat, accompanied by difficult or raspy breathing",Sore throat,Accompanied by,Difficult or raspy breathing,请问您的呼吸是否困难或发出沙哑声音？,Is your breathing difficult or do you have a hoarse voice?,
"sore throat, accompanied by enlarged, tender lymph nodes in neck",Sore throat,Accompanied by,"Enlarged, tender lymph nodes in neck",请问您的颈部淋巴结是否肿大且触痛？,Are your neck lymph nodes swollen and tender?,
"sore throat, accompanied by fever",Sore throat,Accompanied by,Fever,请问您的喉咙痛是否伴有发热？,Does your sore throat come with a fever?,
"sore throat, accompanied by headache or facial pain",Sore throat,Accompanied by,Headache or facial pain,请问您的喉咙痛是否伴有头痛或面部疼痛？,Does your sore throat come with headache or facial pain?,
"sore throat, accompanied by heartburn",Sore throat,Accompanied by,Heartburn,请问您的喉咙痛是否伴有心痛？,Does your sore throat come with heart pain?,
"sore throat, accompanied by hoarse or muffled voice",Sore throat,Accompanied by,Hoarse or muffled voice,请问您的声音是否变得嘶哑或听起来被压抑？,Has your voice become hoarse or sounds suppressed?,
"sore throat, accompanied by muscle aches",Sore throat,Accompanied by,Muscle aches,请问您的喉咙痛是否伴有肌肉疼痛？,Does your sore throat come with muscle pain?,
"sore throat, accompanied by red, swollen tonsils",Sore throat,Accompanied by,"Red, swollen tonsils",请问您的扁桃体是否红肿？,Are your tonsils red and swollen?,
"sore throat, accompanied by runny or stuffy nose",Sore throat,Accompanied by,Runny or stuffy nose,请问您的喉咙痛是否伴有流鼻涕或鼻塞？,Does your sore throat come with a runny or blocked nose?,
"sore throat, accompanied by skin rash",Sore throat,Accompanied by,Skin rash,请问您的喉咙痛是否伴有皮疹？,Does your sore throat come with a rash?,
"sore throat, accompanied by sneezing",Sore throat,Accompanied by,Sneezing,请问您的喉咙痛是否伴有打喷嚏？,Does your sore throat come with sneezing?,
"sore throat, accompanied by watery eyes",Sore throat,Accompanied by,Watery eyes,请问您的喉咙痛是否伴有眼睛流水？,Does your sore throat come with watery eyes?,
"sore throat, accompanied by white patches or pus on tonsils",Sore throat,Accompanied by,White patches or pus on tonsils,请问您的扁桃体上是否有白色斑点或脓包？,Are there white spots or pus on your tonsils?,
"sore throat, accompanied by yellow or greenish phlegm or discharge from your nose",Sore throat,Accompanied by,Yellow or greenish phlegm or discharge from your nose,请问您的喉咙痛是否伴有黄色或绿色的痰或鼻涕？,Does your sore throat come with yellow or green phlegm or nasal discharge?,
"urinary problems, problem is awaking two or more times in the night to urinate",Urinary problems,Problem is,Awaking two or more times in the night to urinate,请问您晚上是否需要起床两次或更多次去小便？,Do you need to get up to urinate two or more times during the night?,
"urinary problems, problem is blood in urine",Urinary problems,Problem is,Blood in urine,请问您的尿液中有血吗？,Is there blood in your urine?,
"urinary problems, problem is change in urine color",Urinary problems,Problem is,Change in urine color,请问您的尿色有变化吗？,Has the color of your urine changed?,
"urinary problems, problem is cloudy urine",Urinary problems,Problem is,Cloudy urine,请问您的尿液是否浑浊？,Is your urine cloudy?,
"urinary problems, problem is difficulty emptying bladder or weak urine stream",Urinary problems,Problem is,Difficulty emptying bladder or weak urine stream,请问您在排空膀胱或排尿时是否感到困难，或尿流是否微弱？,Do you experience difficulty emptying your bladder or is the urine flow weak?,
"urinary problems, problem is difficulty starting urination",Urinary problems,Problem is,Difficulty starting urination,请问您开始排尿时是否有困难？,Do you have difficulty starting to urinate?,
"urinary problems, problem is frequent urination",Urinary problems,Problem is,Frequent urination,请问您是否频繁排尿？,Do you urinate frequently?,
"urinary problems, problem is involuntary loss of urine",Urinary problems,Problem is,Involuntary loss of urine,请问您是否有不自主的尿失禁？,Do you experience involuntary loss of urine?,
"urinary problems, problem is pain or burning when urinating",Urinary problems,Problem is,Pain or burning when urinating,请问您在排尿时感到疼痛或灼烧感吗？,Do you feel pain or burning sensation when urinating?,
"urinary problems, problem is strong, persistent urge to urinate",Urinary problems,Problem is,"Strong, persistent urge to urinate",请问您是否有强烈而持续的排尿冲动？,Do you have a strong and persistent urge to urinate?,
"urinary problems, related pain involves itching or burning around genitals, buttocks or inner thighs",Urinary problems,Related pain involves,"Itching or burning around genitals, buttocks or inner thighs",请问您的生殖器、臀部或大腿内侧是否有瘙痒或灼烧感？,"Do you experience itching or burning sensation in your genitals, buttocks, or inner thighs?",
"urinary problems, related pain involves pain in back or side",Urinary problems,Related pain involves,Pain in back or side,请问您是否感到背部或侧腹部疼痛？,Do you feel pain in your back or side?,
"urinary problems, related pain involves pain in lower abdomen or groin",Urinary problems,Related pain involves,Pain in lower abdomen or groin,请问您下腹部或腹股沟是否感到疼痛？,Do you feel pain in your lower abdomen or groin?,
"urinary problems, related pain involves painful ejaculation",Urinary problems,Related pain involves,Painful ejaculation,请问您是否经历疼痛的射精？,Do you experience painful ejaculation?,
"urinary problems, related pain involves painful sexual intercourse",Urinary problems,Related pain involves,Painful sexual intercourse,请问您是否经历疼痛的性交？,Do you experience painful intercourse?,
"urinary problems, worsened by menstrual cycle",Urinary problems,Worsened by,Menstrual cycle,请问您的月经周期是否加剧尿路问题？,Does your menstrual cycle exacerbate urinary problems?,
"urinary problems, worsened by stress",Urinary problems,Worsened by,Stress,请问压力是否加剧您的尿路问题？,Does stress exacerbate your urinary problems?,
"urinary problems, accompanied by blurred vision",Urinary problems,Accompanied by,Blurred vision,请问您是否伴有视力模糊？,Do you experience blurred vision?,
"urinary problems, accompanied by bumps, blisters or open sores around genitals",Urinary problems,Accompanied by,"Bumps, blisters or open sores around genitals",请问您的生殖器周围是否有疙瘩、水泡或开放性溃疡？,"Are there lumps, blisters, or open sores around your genitals?",
"urinary problems, accompanied by change in vaginal discharge",Urinary problems,Accompanied by,Change in vaginal discharge,请问您的阴道分泌物是否有变化？,Has there been a change in your vaginal discharge?,
"urinary problems, accompanied by clear discharge from penis",Urinary problems,Accompanied by,Clear discharge from penis,请问您的阴茎是否有透明分泌物排出？,Is there a clear discharge from your penis?,
"urinary problems, accompanied by extreme thirst or hunger",Urinary problems,Accompanied by,Extreme thirst or hunger,请问您是否有极度口渴或饥饿感？,Do you experience extreme thirst or hunger?,
"urinary problems, accompanied by fatigue",Urinary problems,Accompanied by,Fatigue,请问您是否感到疲劳？,Do you feel fatigued?,
"urinary problems, accompanied by fever",Urinary problems,Accompanied by,Fever,请问您是否有发烧？,Do you have a fever?,
"urinary problems, accompanied by nausea or vomiting",Urinary problems,Accompanied by,Nausea or vomiting,请问您是否有恶心或呕吐？,Do you experience nausea or vomiting?,
"urinary problems, accompanied by pus-filled discharge from penis",Urinary problems,Accompanied by,Pus-filled discharge from penis,请问您的阴茎是否有脓性分泌物排出？,Is there pus-like discharge from your penis?,
"urinary problems, accompanied by unintended weight loss",Urinary problems,Accompanied by,Unintended weight loss,请问您是否有意外的体重下降？,Have you experienced unintentional weight loss?,
"urinary problems, accompanied by vaginal odor",Urinary problems,Accompanied by,Vaginal odor,请问您的阴道是否有异味？,Does your vagina have an unusual odor?,
"wheezing, wheezing is new or recent",Wheezing,Wheezing is,New or recent,请问您是否是新近出现的喘息？,Have you recently developed wheezing?,
"wheezing, wheezing is ongoing or recurrent",Wheezing,Wheezing is,Ongoing or recurrent,请问您的喘息是否持续或反复出现？,Is your wheezing persistent or recurrent?,
"wheezing, preceded by upper respiratory illness",Wheezing,Preceded by,Upper respiratory illness,请问您的喘息是否由上呼吸道感染先导？,Is your wheezing preceded by an upper respiratory tract infection?,
"wheezing, triggered or worsened by allergens or irritants",Wheezing,Triggered or worsened by,Allergens or irritants,请问您的喘息是否由过敏原或刺激物引发或加剧？,Is your wheezing triggered or worsened by allergens or irritants?,
"wheezing, triggered or worsened by exposure to cold air",Wheezing,Triggered or worsened by,Exposure to cold air,请问您的喘息是否因暴露于冷空气中而触发或加剧？,Is your wheezing triggered or worsened by exposure to cold air?,
"wheezing, triggered or worsened by mild to moderate exertion",Wheezing,Triggered or worsened by,Mild to moderate exertion,请问轻到中度劳动是否触发或加剧您的喘息？,Does light to moderate exertion trigger or worsen your wheezing?,
"wheezing, triggered or worsened by smoking",Wheezing,Triggered or worsened by,Smoking,请问吸烟是否触发或加剧您的喘息？,Does smoking trigger or worsen your wheezing?,
"wheezing, accompanied by blue-colored skin or lips",Wheezing,Accompanied by,Blue-colored skin or lips,请问您是否伴有皮肤或嘴唇呈蓝色？,Do you have blue-colored skin or lips?,
"wheezing, accompanied by chest pain or tightness",Wheezing,Accompanied by,Chest pain or tightness,请问您是否有胸痛或胸部紧束感？,Do you have chest pain or a feeling of chest tightness?,
"wheezing, accompanied by cough that produces sputum",Wheezing,Accompanied by,Cough that produces sputum,请问您的咳嗽是否伴有痰？,Does your cough produce phlegm?,
"wheezing, accompanied by difficult or painful swallowing",Wheezing,Accompanied by,Difficult or painful swallowing,请问您是否有吞咽困难或疼痛？,Do you have difficulty swallowing or pain during swallowing?,
"wheezing, accompanied by dry cough",Wheezing,Accompanied by,Dry cough,请问您是否有干咳？,Do you have a dry cough?,
"wheezing, accompanied by fatigue or weakness",Wheezing,Accompanied by,Fatigue or weakness,请问您是否感到疲劳或虚弱？,Do you feel fatigued or weak?,
"wheezing, accompanied by fever",Wheezing,Accompanied by,Fever,请问您是否发烧？,Do you have a fever?,
"wheezing, accompanied by hoarse or muffled voice",Wheezing,Accompanied by,Hoarse or muffled voice,请问您的声音是否嘶哑或被压抑？,Is your voice hoarse or sounds suppressed?,
"wheezing, accompanied by shortness of breath",Wheezing,Accompanied by,Shortness of breath,请问您是否感到呼吸急促？,Do you feel short of breath?,
"wheezing, accompanied by sore throat",Wheezing,Accompanied by,Sore throat,请问您是否喉咙痛？,Do you have a sore throat?,
